"","iso","genre","tmstamp","n","dir"
"113","US","disco","2020-01-15 09:07:43",124,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""disco""&fmt=json"
"114","US","doo-wop","2020-01-15 09:07:43",63,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""doo-wop""&fmt=json"
"115","US","doom metal","2020-01-15 09:07:43",155,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""doom metal""&fmt=json"
"116","US","downtempo","2020-01-15 09:07:44",45,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""downtempo""&fmt=json"
"117","US","drill","2020-01-15 09:07:44",4,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""drill""&fmt=json"
"118","US","drone","2020-01-15 09:07:55",137,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""drone""&fmt=json"
"119","US","drum and bass","2020-01-15 09:07:55",42,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""drum and bass""&fmt=json"
"120","US","dub","2020-01-15 09:07:55",44,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""dub""&fmt=json"
"121","US","dub techno","2020-01-15 09:07:55",15,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""dub techno""&fmt=json"
"122","US","dubstep","2020-01-15 09:07:56",50,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""dubstep""&fmt=json"
"123","US","dungeon synth","2020-01-15 09:07:56",4,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""dungeon synth""&fmt=json"
"124","US","east coast hip hop","2020-01-15 09:07:56",45,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""east coast hip hop""&fmt=json"
"125","US","ebm","2020-01-15 09:07:56",14,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""ebm""&fmt=json"
"126","US","electric blues","2020-01-15 09:07:57",54,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""electric blues""&fmt=json"
"127","US","electro","2020-01-15 09:08:07",126,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""electro""&fmt=json"
"128","US","electro house","2020-01-15 09:08:07",32,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""electro house""&fmt=json"
"129","US","electro swing","2020-01-15 09:08:08",1,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""electro swing""&fmt=json"
"130","US","electro-funk","2020-01-15 09:08:08",3,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""electro-funk""&fmt=json"
"131","US","electro-industrial","2020-01-15 09:08:08",19,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""electro-industrial""&fmt=json"
"132","US","electroclash","2020-01-15 09:08:08",3,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""electroclash""&fmt=json"
"133","US","electronic","2020-01-15 09:08:08",363,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""electronic""&fmt=json"
"134","US","electronic rock","2020-01-15 09:08:09",17,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""electronic rock""&fmt=json"
"135","US","electronica","2020-01-15 09:08:09",143,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""electronica""&fmt=json"
"136","US","electronicore","2020-01-15 09:08:20",2,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""electronicore""&fmt=json"
"137","US","electropop","2020-01-15 09:08:20",78,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""electropop""&fmt=json"
"138","US","electropunk","2020-01-15 09:08:20",3,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""electropunk""&fmt=json"
"139","US","emo","2020-01-15 09:08:20",109,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""emo""&fmt=json"
"140","US","emocore","2020-01-15 09:08:21",8,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""emocore""&fmt=json"
"141","US","enka","2020-01-15 09:08:21",0,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""enka""&fmt=json"
"142","US","ethereal","2020-01-15 09:08:21",15,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""ethereal""&fmt=json"
"143","US","euro house","2020-01-15 09:08:21",0,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""euro house""&fmt=json"
"144","US","eurodance","2020-01-15 09:08:21",5,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""eurodance""&fmt=json"
"145","US","europop","2020-01-15 09:08:31",0,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""europop""&fmt=json"
"146","US","experimental","2020-01-15 09:08:32",260,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""experimental""&fmt=json"
"147","US","experimental rock","2020-01-15 09:08:32",93,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""experimental rock""&fmt=json"
"148","US","fado","2020-01-15 09:08:32",0,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""fado""&fmt=json"
